Latitude,Longitude
3.1462284,101.7088522
3.1466577,101.7093572
3.1467289,101.7092545
3.1465469,101.7094742
3.1469499,101.7093818
3.1467179,101.7109004
3.1492633,101.7005946
3.1483969,101.7058719
3.1505697,101.704273
3.152859,101.7037604
3.1528139,101.7039268
3.1483924,101.7059707
3.1478119,101.707486
3.1477875,101.7076822
3.1481666,101.7078758
3.1480358,101.7081408
3.1486073,101.7086007
3.1485734,101.7086743
3.1487657,101.7082137
3.1487156,101.7083337
3.1486909,101.7084018
3.1486686,101.708478
3.1486296,101.7085456
3.1492565,101.7063706
3.1482532,101.7089727
3.1479193,101.7097532
3.1485587,101.7087168
3.1481237,101.7104116
3.1478463,101.7111344
3.1480066,101.7107888
3.1483125,101.7111694
3.1504321,101.7070636
3.1529132,101.7082301
3.1529604,101.7081711
3.1517105,101.7096261
3.1542213,101.6948899
3.1553869,101.6951749
3.1547293,101.6976741
3.1564755,101.6962099
3.1567023,101.6961839
3.1565835,101.7001867
3.1577417,101.7001772
3.158539,101.6995945
3.1602709,101.6967685
3.1606258,101.6969911
3.1637312,101.6958098
3.1563158,101.705584
3.1541725,101.7065043
3.1549138,101.7068704
3.1549671,101.7082797
3.1539979,101.7092576
3.1566847,101.7069049
3.1569017,101.7073944
3.1585101,101.7093863
3.1589074,101.704979
3.1592067,101.7052252
3.1636449,101.7031407
3.1586497,101.7080652
3.1450989,101.7140901
3.1458267,101.7128383
3.1471988,101.7117087
3.147084,101.7132747
3.1472265,101.7131859
3.145682,101.7147876
3.1457436,101.7148518
3.145149,101.717656
3.1461955,101.7203827
3.1471347,101.7220065
3.1480376,101.711499
3.1480169,101.7137168
3.1490063,101.7126152
3.149116,101.7127059
3.1507057,101.7129496
3.1504267,101.7144544
3.1573038,101.7126364
3.1543163,101.7186583
3.1563797,101.7207463
3.1564172,101.720808
3.1564977,101.7207451
3.1598475,101.7114796
3.1594542,101.7135291
3.1596547,101.7146181
3.1596965,101.7167294
3.1598999,101.7167261
3.1605824,101.7157777
3.1635579,101.7151953
3.1630184,101.7164004
3.1599313,101.7174654
3.1609865,101.7203417
3.1624928,101.7194064
3.1614923,101.7200829
3.1617227,101.719828
3.1557307,101.7264443
3.1547078,101.7268946
3.1570774,101.7232596
3.1567981,101.7273435
3.1600079,101.7230102
3.1594712,101.7287129
3.1608493,101.728085
3.1233379,101.7370458
3.1304132,101.7534904
3.1353593,101.7421648
3.1210375,101.7604172
3.1211157,101.7616
3.1210517,101.7621072
3.1204023,101.7628101
3.1211403,101.7627715
3.1210507,101.7661879
3.1352886,101.7636199
3.139025,101.7641295
3.1327702,101.7692918
3.1343481,101.7694852
3.1392825,101.7729684
3.1505405,101.7511134
